File,Size,Path,Technical_v1,Baseline_v2,CoT_v3,Action_v4,Intent_v5,Referenced_v6,Selected version,Comments
0023ab4a9135dc208590ee6cd0761d7225914722.xlsx,20,path_0,Can you help me highlight the values in the last column so I can see the differences more clearly? The values in the range AK2:AK36 are highlighted using a color scale.,Apply a color scale conditional formatting to the range AK2:AK36 in the 'NPC' sheet.,Apply color scale conditional formatting to AK2:AK36.,Highlight mean half-life values for each gene.,Can you help me highlight the values in the last column to see the differences better?,Can you make the values in this column stand out with colors so I can quickly see any patterns or unusual values?,,
003cc3d9eeeedf1175667c2aebcaf17e11e44cdc.xlsx,14,path_0,Can you show me the total number of members for each category by adding up the current and prospective members? The total number of members for each category is calculated by summing the values in the 'Current Members' and 'Prospective Members' columns across ranges D3:D53. The formula used is =B3+C3 for each corresponding row.,Add a 'Total Members' column to the right of the existing columns and calculate the sum of '# of Current Members' and '# of Prospective Members' for each row.,Add and populate 'Total Members' column with sums.,Add a column for total members and calculate totals for each category.,Can you show me the total number of members for each category by adding current and prospective members?,Can you add a new column to show the total number of members by adding the current and prospective members for the selected categories?,,
003cc3d9eeeedf1175667c2aebcaf17e11e44cdc.xlsx,14,path_1,"Can you show me the total number of current and prospective members for each category? The new column D is added to sum the values from columns B and C for rows 11 to 17. Headers are added to column D for specific sections: Resources, Community Connections, Personal Style, Age, and Gender.",Add a new column to the right of the existing columns in the 'Template' sheet and populate it with the sum of the values from columns B and C for the rows corresponding to 'Areas of Expertise/Leadership Qualities'.,"Add a new column D with sums of columns B and C, and label rows as 'Resources', 'Community Connections', 'Personal Style', 'Age', and 'Gender'.",Add a new column to show the total number of members for each category by summing current and prospective members.,Can you help me add a column that shows the total number of current and prospective members for each category?,Can you add a new column that shows the total number of current and prospective members for each category in this selected range?,,
003cc3d9eeeedf1175667c2aebcaf17e11e44cdc.xlsx,14,path_2,Can you show the total for the 'Other' category in a new column? The formula `=B18+C18` is applied to cell D18 to calculate the total value for the 'Other' category.,Add a new column D to the table and calculate the sum of columns B and C for the row labeled 'Other' under 'Areas of Expertise/Leadership Qualities'.,Calculate the sum of values in columns B and C for row 18.,Add a new column to calculate the sum of current and prospective members for each expertise/quality.,Can you show me the total number of current and prospective members for the 'Other' category?,Can you add a new column that shows the total number of current and prospective members for the selected range?,,
003cc3d9eeeedf1175667c2aebcaf17e11e44cdc.xlsx,14,path_3,"Can you help me add a new column to track extra data and make sure it sums up the values from the two columns next to it? The new column (D) is added to the right of the existing columns (A, B, C). Rows D21 to D42 are populated with zeros. The formula applied in column D is '=B21+C21' for each corresponding row.",Add a new column to the existing table and populate it with the sum of the values from columns B and C for rows 21 to 42.,Add a calculated column D that sums values from columns B and C for rows 21 to 42.,Add a new column to calculate the sum of current and prospective members for each category.,Can you show the total for each category by adding current and prospective members?,Can you add a new column that shows the total of the current and prospective members for the selected range?,,
003cc3d9eeeedf1175667c2aebcaf17e11e44cdc.xlsx,14,path_4,"Can you show me the combined total of current and prospective members for each race/ethnicity? The formula pattern identified is '=args_1+args_2' applied over the range D56:D61, where args_1 and args_2 correspond to values in columns B and C respectively. For example, cell D56 contains the formula '=B56+C56'.",Add a new column to the right of the existing columns and populate it with the sum of the values in columns B and C for rows 56 to 61.,Add a new column and calculate race/ethnicity values.,Add a new column to calculate the sum of current and prospective members for each race/ethnicity.,Can you show me the total members for each race/ethnicity by adding current and prospective members?,Can you add a new column next to the selected range and show the total number of members by adding the values from the two existing columns for each race/ethnicity?,,
004e60e81e6856a1e1951e63c66a7e189c055c23.xlsx,46,path_0,"Can you help me update the sheet with new headers, a multiplier, and a net price column? The headers 'FCT_0821', 'Effective August 16,2021', and '(Supersedes FCT_1018)' are added in cells H2, H3, and H4 respectively. A new column 'Net Price' is added in column H. The multiplier value is set in cell H6 with a reference to cell K2.","Please update the Excel sheet by adding a 'Net Price' column next to the 'List Price' column, and include a header with the text 'FCT_0821', 'Effective August 16, 2021', and '(Supersedes FCT_1018)'. Also, add a 'Multiplier' value of 0.0 in cell G6.","Add headers and labels, insert a reference formula, and ensure the 'Net Price' column is empty.","Update headers and footers, and add an empty 'Net Price' column.","Can you help me add new headers, a multiplier, and a net price column to this sheet?",Can you help me update the sheet with the new header details and add a multiplier value based on the selected range?,,
00625223a7dc979da1ca74f7c9d62089cb691425.xlsx,14,path_0,Can you show me the total cost for each item in the inventory? The total costs are calculated using the formula =+QTY*UNIT PRICE for each item across the range F8:F30.,Add a 'TOTAL' column to the inventory table and calculate the total cost for each item by multiplying the quantity by the unit price.,"Add a 'TOTAL' column, calculate total prices, and add footer note 'Rev. 8-12-19'.",Add a 'TOTAL' column to the inventory sheet and calculate the total cost for each item.,Can you show me the total cost for each item in the inventory list?,Can you show the total cost for each item by multiplying the quantity and unit price for the selected range?,,
006aac23cd684b7c0bfa727e381a30e4dd3201c8.xlsx,21,path_0,Can you add a new column to show the total credits for each semester? The formula should sum the values from H15 to H20 in the new column I.,Can you add a new column to the right of the existing table that calculates the total credit hours for each semester?,Add a new column with specific values and calculate the sum of a range of cells in the new column.,Add a new column to the right and calculate the total credit hours for each semester.,Can you add a new column to show extra details and calculate the total credits for each semester?,Can you add a new column that shows the total credit hours for each semester based on the selected range of cells?,,
008187ee9eab82c36de570046c9d7f10ccd4c575.xlsx,12,path_0,Can you help me add a header and fill the first column with numbers in order? The header 'Header1' is added to cell A1. The first column (A) is filled with sequential numbers from 1 to 67 using the formula template '=args_1+1'.,"Please add a new column 'Header1' to the table, where each cell in this column contains a sequential number starting from 1, and ensure the existing column 'Header2' remains unchanged.","Organize column A with a header and sequential numbers, and keep column B data unchanged.",Add a new column with sequential numbers and update the header.,Can you add a new column with numbers and a header to organize the rows?,Can you add a header to the first column and fill it with numbers from 1 to 66 based on the selected range?,,
