File,Size,Path,Technical_v1,Baseline_v2,CoT_v3,Action_v4,Intent_v5,Referenced_v6,Selected version,Comments
000bf5cf67d848adfbf1ac1ff7fc90e31e8923bc.xlsx,35,path_0,"Can you help me clean up the data by removing duplicates and ensuring all facilities have their rates listed? The data needs to be cleaned by removing duplicate rows for facilities. Ensure all facilities have their respective rates listed for FY 2020, FY 2021, and FY 2022. Apply conditional formatting to highlight cells with values greater than 997 in the specified ranges.","Please remove the rows with empty cells in columns E, F, and G from the table.",Clean up the table by removing duplicate rows and highlight cells with values greater than 997.,Highlight reimbursement rates over 997 in the specified ranges.,Can you help me clean up the data by removing duplicates and highlighting values above 997?,Can you highlight the cells in the selected range where the values are greater than 997?,,
002d71c44206507eaebe4c850572252d94ba5a6a.xlsx,18,path_0,"Can you help me make sure the data is accurate and correctly formatted so I can understand the trends in Swiss foreign trade from 1980 to 2020? The formula pattern identified is `=args_1*100/args_2-100`, used to calculate percentage changes over the range C47:L47. For example, in cell C47, the formula is `=B47*100/B46-100`.","Please update the '2020' row in the 'Swiss foreign trade, 1980-2020' table to include the percentage changes for imports and exports, and ensure the values are correctly calculated and displayed.",Calculate and display the percentage change for 2020.,"Correct data entries, ensure accurate percentage calculations, and verify date and numerical consistency.","Can you help me correct the dates, ensure the percentages are right, and fix any negative values in the Swiss trade data from 1980 to 2020?",Can you show me the percentage change for the values in this selected range?,,
00446c010ac0b8f1c3090a7e896eade31262a1bb.xlsx,18,path_0,Can you help me highlight cells that have the word 'Yes' in them? Apply conditional formatting to the range I31 with the condition that it contains the text 'Yes'.,Can you add conditional formatting to cell I31 to highlight it if it contains the text 'Yes'?,Highlight cell I31 if it contains 'Yes'.,Highlight cell I31 if it contains 'Yes'.,Can you make the cell in column I31 stand out if it says 'Yes'?,Can you highlight the cell in this column if it contains the word 'Yes'?,,
00446c010ac0b8f1c3090a7e896eade31262a1bb.xlsx,18,path_1,Can you help me highlight cells that contain the word 'No'? Conditional formatting applied to cell I31 to highlight if it contains the word 'No'.,Can you help me add conditional formatting to cell I31 in the 'PerformancePlanning' sheet so that it highlights the cell if it contains the text 'No'?,Highlight cell I31 if it contains 'No'.,Highlight cell I31 if it contains 'No'.,Can you make the cell I31 stand out if it says 'No'?,Can you highlight the cell in this column if it contains the word 'No'?,,
00446c010ac0b8f1c3090a7e896eade31262a1bb.xlsx,18,path_2,"Can you highlight the cell if it contains the word 'Maybe'? Conditional formatting is applied to cell I31 to highlight it if it contains the word 'Maybe' using the formula `NOT(ISERROR(SEARCH('Maybe',I31)))`.",Can you help me apply conditional formatting to cell I31 in the 'PerformancePlanning' sheet so that it highlights the cell if it contains the text 'Maybe'?,Highlight cell I31 if it contains 'Maybe'.,Highlight cell I31 if it contains 'Maybe'.,Can you help me highlight cells that contain the word 'Maybe'?,Can you make the cell in this column stand out if it says 'Maybe'?,,
00529a2e738b0dcf609815b62c3c06c8d9faec7f.xlsx,21,path_0,Can you show me the total number of each type of permit across all counties? The total number of each type of permit is calculated by summing the values in each column from C2 to C106 and displaying the result in row 107.,Please add a row at the bottom of the table to calculate the total for each numeric column.,Add a 'Total' row to summarize the data for columns C to M.,Add a 'Total' row at the bottom of the table and calculate sums for columns C to M.,Can you show me the total number of permits for each category at the bottom of the table?,Can you add a row at the bottom of this range to show the total counts for each category?,,
0067872b10cbedda1e07c38f6ffb6eb99d7f8732.xlsx,25,path_0,"Can you update the schedule to show the new date range and add the Saturday shows? The date range 'Oct 11th - Oct 17th, 2021' is added to cell H1. 'SATURDAY' is added to cells H2 and H63. Specific show titles are added to column H for rows 3 to 62 based on the given data.","Can you update the schedule to include the dates 'Oct 11th - Oct 17th, 2021' in cell H1, add 'SATURDAY' in cells H2 and H63, and fill in the Saturday programming in column H based on the existing weekday schedule?","Add the date range and day labels, and populate the Saturday schedule with show details.",Add a new column for Saturday's programming and a date range for the week in the header.,Can you help me update the schedule with a new date range and add show titles for Saturday?,"Can you update the schedule to show the correct dates and show titles for the week of Oct 11th - Oct 17th, 2021, based on the selected range?",,
0067872b10cbedda1e07c38f6ffb6eb99d7f8732.xlsx,25,path_1,Can you add Thursday's schedule next to Monday and Tuesday? The Thursday schedule (ranging from F3 to F62) is directly referenced from Monday's schedule using simple cell references like =C38.,"Add a new column for Thursday's schedule to the existing radio show timetable, filling in the appropriate show details for each time slot.",Update the schedule to include Thursday.,Add a Thursday column with shows and ensure all time slots are correctly filled.,Can you add Thursday to the schedule and fill in the show details for that day?,Can you add a new column for Thursday and fill it with the correct show titles based on the selected range?,,
0067872b10cbedda1e07c38f6ffb6eb99d7f8732.xlsx,25,path_2,"Can you add the Wednesday schedule to the show timetable? The new column 'E' is added with the header 'WEDNESDAY'. The cells in the range E3:E62 are populated with show details for Wednesday. The formula template used is =args_1, where args_1 refers to the corresponding cell in the 'C' column.","Add a new column for Wednesday's schedule in the radio show timetable, filling in the appropriate show details for each time slot.",Add and fill a new Wednesday column.,Add a new column for Wednesday and fill in the show details.,Can you add Wednesday's show details to the schedule?,Can you add a new column for Wednesday and fill it with the show details for the selected range?,,
0067872b10cbedda1e07c38f6ffb6eb99d7f8732.xlsx,25,path_4,Can you help me add more show details for the 11pm to 2am time slot on Monday and Tuesday? The additional show details are to be added in the range F8:G12.,"Please add the following shows to the time slots in the existing schedule: 'Jack Benny Prgm 9/11/49', 'Rita Hayworth B-Day Lux', 'Jack Benny Prgm 3/12/49', 'with Orson Welles 9/11/44', 'Two From Phil Harris &', 'Charlie McCarthy 4/22/45', 'Alice Faye Program', 'Charlie McCarthy 10/12/47', '12/10/50 & 4/22/51', and 'Couple Next Door 3/3/58'.",Update the schedule with new show titles in F8:G12.,Add specific show details to the radio schedule.,Can you help me add the missing show details to the schedule?,Can you help me update the selected cells with the new information to make sure everything is current and correct?,,
006e82213846a9ba09429ce7be40c98ae842f85e.xlsx,43,path_0,Can you show me the total expenses for each category over the week? The total expenses for each category are calculated by summing up the daily expenses across the days (B10:H10) and placing the results in the new column (I10:I28).,Please update the Vendor Travel Expense Report by adding a new column to calculate the total expenses for each category across all days.,Summarize expenses for each category in a new column.,Add a new column to calculate and display total expenses for each row.,Can you show me the total expenses for each category in a new column?,Can you add a new column that shows the total expenses for each category based on the selected range?,,
006e82213846a9ba09429ce7be40c98ae842f85e.xlsx,43,path_1,"Can you show me the cost of mileage for each day of travel? The mileage costs are calculated by multiplying the miles traveled each day (B8:H8) by 0.575, resulting in the costs displayed in cells B9:H9.",Calculate the total mileage expense for each day by multiplying the mileage by $0.575.,Calculate and display daily mileage cost.,Calculate mileage costs for each day in the travel expense report.,Can you help me calculate the travel expenses based on mileage?,Can you calculate the travel expenses for each day by multiplying the mileage values in the selected range by $0.575 and show the results?,,
00924078741af989228b2d324b09307000d7c742.xlsx,31,path_0,"Can you show the percentages for the year 2019 next to the numbers so I can compare them easily? The percentages for the year 2019 are calculated using the formula =args_1/SUM(args_2) and applied over the range I13:I32. For example, cell I13 uses the formula =H13/SUM($H$13:$H$14).",Please update the percentages in the 'Protected characteristics reported of transgender prisoners' table to reflect the correct values based on the total numbers for each year.,Add a new column with calculated percentages and ensure the layout and formatting of Sheet 1 are consistent and clear.,"Add a header and notes for clarity, and calculate and fill in percentages for each category.",Can you help me add headers and calculate percentages to make the data clearer?,Can you add a new column to show percentages and additional information for the selected range of cells?,,
00924078741af989228b2d324b09307000d7c742.xlsx,31,path_1,Can you show the percentages of different gender identities among transgender prisoners? The percentages are calculated using the formula =args_1/SUM(args_2) over the range E13:E23 in Sheet 2.,Can you update the percentages in Sheet 2 of the Excel file to reflect the correct values based on the numbers provided?,Calculate and format 2019 percentages in Sheet 2.,"Add columns for numbers and percentages, calculate percentages for gender categories, and update footnotes in Sheet 2.",Can you show the percentage of each gender identity for transgender prisoners in 2019?,Can you show the percentage of each value in this column based on the total sum of the selected range?,,
00a546ab5b3a7d6e894775776c487be03df1fb7a.xlsx,13,path_0,"Can you add more columns and calculate a value based on some conditions? The formula in cell L13 is: `=IF(C13>1000*C7,(C13-1000*C7)*8.75,0)`",Add columns H to L to the existing table and insert a formula in cell L13 to calculate a value based on the conditions provided.,Update the worksheet by adding new columns and including a conditional formula.,Add new columns and insert a formula for specific calculations.,Can you help me add more columns and calculate a specific value based on some conditions?,Can you add a new column that calculates a value based on the selected cells in columns C and G?,,
00c580e486e673a98c3493e599909876c175e676.xlsx,49,path_0,"Can you help me highlight all the completed actions in the table? Apply conditional formatting to the range F9:O15, F17:O138, and F16 to highlight cells that contain the value 'Y'.",Can you apply conditional formatting to the table so that cells containing 'Y' in columns F to O are highlighted?,Highlight cells equal to 'Y'.,Highlight cells with 'Y' in columns F to O for rows 9 to 138.,Can you highlight all the 'Y' cells in the table to make them stand out?,Can you highlight the cells in this range where the value is 'Y'?,,
